posx	posy	h	type
-0.293158	-0.110526	0.010000	0
-0.278421	-0.110526	0.010000	0
-0.263684	-0.110526	0.010000	0
-0.248947	-0.110526	0.010000	0
-0.234211	-0.110526	0.010000	0
-0.219474	-0.110526	0.010000	0
-0.204737	-0.110526	0.010000	0
-0.190000	-0.110526	0.010000	0
-0.470000	-0.095789	0.010000	0
-0.455263	-0.095789	0.010000	0
-0.440526	-0.095789	0.010000	0
-0.425789	-0.095789	0.010000	0
-0.411053	-0.095789	0.010000	0
-0.396316	-0.095789	0.010000	0
-0.381579	-0.095789	0.010000	0
-0.366842	-0.095789	0.010000	0
-0.352105	-0.095789	0.010000	0
-0.337368	-0.095789	0.010000	0
-0.322632	-0.095789	0.010000	0
-0.307895	-0.095789	0.010000	0
-0.293158	-0.095789	0.010000	0
-0.278421	-0.095789	0.010000	0
-0.263684	-0.095789	0.010000	0
-0.248947	-0.095789	0.010000	0
-0.234211	-0.095789	0.010000	0
-0.219474	-0.095789	0.010000	0
-0.204737	-0.095789	0.010000	0
-0.190000	-0.095789	0.010000	0
-0.470000	-0.081053	0.010000	0
-0.455263	-0.081053	0.010000	0
-0.440526	-0.081053	0.010000	0
-0.425789	-0.081053	0.010000	0
-0.411053	-0.081053	0.010000	0
-0.396316	-0.081053	0.010000	0
-0.381579	-0.081053	0.010000	0
-0.366842	-0.081053	0.010000	0
-0.352105	-0.081053	0.010000	0
-0.337368	-0.081053	0.010000	0
-0.322632	-0.081053	0.010000	0
-0.307895	-0.081053	0.010000	0
-0.293158	-0.081053	0.010000	0
-0.278421	-0.081053	0.010000	0
-0.263684	-0.081053	0.010000	0
-0.248947	-0.081053	0.010000	0
-0.234211	-0.081053	0.010000	0
-0.219474	-0.081053	0.010000	0
-0.204737	-0.081053	0.010000	0
-0.190000	-0.081053	0.010000	0
-0.470000	-0.066316	0.010000	0
-0.455263	-0.066316	0.010000	0
-0.440526	-0.066316	0.010000	0
-0.425789	-0.066316	0.010000	0
-0.411053	-0.066316	0.010000	0
-0.396316	-0.066316	0.010000	0
-0.381579	-0.066316	0.010000	0
-0.366842	-0.066316	0.010000	0
-0.352105	-0.066316	0.010000	0
-0.337368	-0.066316	0.010000	0
-0.322632	-0.066316	0.010000	0
-0.307895	-0.066316	0.010000	0
-0.293158	-0.066316	0.010000	0
-0.278421	-0.066316	0.010000	0
-0.263684	-0.066316	0.010000	0
-0.248947	-0.066316	0.010000	0
-0.234211	-0.066316	0.010000	0
-0.219474	-0.066316	0.010000	0
-0.204737	-0.066316	0.010000	0
-0.190000	-0.066316	0.010000	0
-0.470000	-0.051579	0.010000	0
-0.455263	-0.051579	0.010000	0
-0.440526	-0.051579	0.010000	0
